movie_title,director_name,actor_1_name,num_critic_for_reviews,duration,director_facebook_likes,actor_facebook_likes,movie_facebook_likes,gross,num_user_for_reviews,budget,imdb_score
Alice in Wonderland ,Tim Burton,Johnny Depp,451,108,13000,76000,24000,334185206,736,200000000,6.5
Monsters University ,Dan Scanlon,Steve Buscemi,376,104,37,13539,44000,268488329,265,200000000,7.3
Transformers: Revenge of the Fallen ,Michael Bay,Glenn Morshower,366,150,976,1939,17372,402076689,1439,200000000,6
Transformers: Age of Extinction ,Michael Bay,Bingbing Li,378,165,976,2738,56000,245428137,918,210000000,5.7
Oz the Great and Powerful ,Sam Raimi,Tim Holmes,525,130,976,70000,60000,234903076,511,215000000,6.4
The Amazing Spider-Man 2 ,Marc Webb,Emma Stone,495,142,464,25825,41000,202853933,1067,200000000,6.7
TRON: Legacy ,Joseph Kosinski,Jeff Bridges,469,125,364,23000,30000,172051787,665,170000000,6.8
Cars 2 ,John Lasseter,Joe Mantegna,304,106,487,2695,10000,191450875,283,200000000,6.3
Green Lantern ,Martin Campbell,Ryan Reynolds,436,123,258,16694,24000,116593191,550,200000000,5.6
Toy Story 3 ,Lee Unkrich,Tom Hanks,453,103,125,16721,30000,414984497,733,200000000,8.3
Terminator Salvation ,McG,Christian Bale,422,118,368,26988,17372,125320003,974,200000000,6.6
Furious 7 ,James Wan,Jason Statham,424,140,976,63000,94000,350034110,657,190000000,7.2
World War Z ,Marc Forster,Peter Capaldi,654,123,395,29000,129000,202351611,995,190000000,7
X-Men: Days of Future Past ,Bryan Singer,Jennifer Lawrence,539,149,976,76000,82000,233914986,752,200000000,8
Star Trek Into Darkness ,J.J. Abrams,Benedict Cumberbatch,590,132,14000,20909,92000,228756232,1171,190000000,7.8
Jack the Giant Slayer ,Bryan Singer,Eddie Marsan,338,114,976,1676,22000,65171860,205,195000000,6.3
Prince of Persia: The Sands of Time ,Mike Newell,Jake Gyllenhaal,306,116,179,15803,23000,90755643,453,200000000,6.6
Pacific Rim ,Guillermo del Toro,Charlie Hunnam,575,131,976,17887,83000,101785482,1106,190000000,7
Transformers: Dark of the Moon ,Michael Bay,Glenn Morshower,428,154,976,2304,46000,352358779,899,195000000,6.3
Indiana Jones and the Kingdom of the Crystal Skull ,Steven Spielberg,Harrison Ford,470,122,14000,13000,5000,317011114,2054,185000000,6.2
Brave ,Mark Andrews,Kelly Macdonald,488,93,56,3838,39000,237282182,428,185000000,7.2
Star Trek Beyond ,Justin Lin,Sofia Boutella,322,122,681,1222,30000,130468626,432,185000000,7.5
WALL·E ,Andrew Stanton,John Ratzenberger,421,98,475,2251,16000,223806889,1043,180000000,8.4
Rush Hour 3 ,Brett Ratner,Tzi Ma,162,91,420,709,17372,140080850,221,140000000,6.2
2012 ,Roland Emmerich,Oliver Platt,367,158,776,1778,13000,166112167,1055,200000000,5.8
A Christmas Carol ,Robert Zemeckis,Robin Wright,240,96,976,42000,17372,137850096,249,200000000,6.8
Jupiter Ascending ,Lana Wachowski,Channing Tatum,384,127,976,45000,44000,47375327,720,176000000,5.4
The Legend of Tarzan ,David Yates,Christoph Waltz,248,110,282,21103,29000,124051759,239,180000000,6.6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Andrew Adamson,Jim Broadbent,284,150,80,1272,17372,291709845,1463,180000000,6.9
X-Men: Apocalypse ,Bryan Singer,Jennifer Lawrence,396,144,976,48000,54000,154985087,622,178000000,7.3
The Dark Knight ,Christopher Nolan,Christian Bale,645,152,22000,47000,37000,533316061,4667,185000000,9
Up ,Pete Docter,John Ratzenberger,408,96,976,2110,27000,292979556,704,175000000,8.3
Monsters vs. Aliens ,Rob Letterman,Amy Poehler,219,94,11,2432,17372,198332128,187,175000000,6.5
Iron Man ,Jon Favreau,Robert Downey Jr.,486,126,4000,37000,10000,318298180,1055,140000000,7.9
Hugo ,Martin Scorsese,Chloë Grace Moretz,682,126,17000,34000,42000,73820094,678,170000000,7.5
Wild Wild West ,Barry Sonnenfeld,Will Smith,85,106,188,14582,17372,113745408,648,170000000,4.8
The Mummy: Tomb of the Dragon Emperor ,Rob Cohen,Jet Li,264,112,357,8595,17372,102176165,501,145000000,5.2
Suicide Squad ,David Ayer,Will Smith,418,123,452,10665,80000,161087183,971,175000000,6.9
Evan Almighty ,Tom Shadyac,Jimmy Bennett,186,96,293,105000,2000,100289690,257,175000000,5.4
Edge of Tomorrow ,Doug Liman,Tom Cruise,585,113,218,11363,77000,100189501,741,178000000,7.9
Waterworld ,Kevin Reynolds,Jeanne Tripplehorn,91,176,58,831,17372,88246220,309,175000000,6.1
G.I. Joe: The Rise of Cobra ,Stephen Sommers,Joseph Gordon-Levitt,250,118,208,25570,17372,150167630,534,175000000,5.8
Inside Out ,Pete Docter,Amy Poehler,536,95,976,2151,118000,356454367,773,175000000,8.3
Iron Man 2 ,Jon Favreau,Robert Downey Jr.,453,124,4000,44000,18000,312057433,723,200000000,7
Snow White and the Huntsman ,Rupert Sanders,Chris Hemsworth,416,132,274,54000,53000,155111815,710,170000000,6.1
Maleficent ,Robert Stromberg,Angelina Jolie Pitt,401,97,171,13846,89000,241407328,634,180000000,7
Dawn of the Planet of the Apes ,Matt Reeves,Gary Oldman,521,130,198,12884,45000,208543795,620,170000000,7.6
47 Ronin ,Carl Rinsch,Keanu Reeves,218,128,47,19982,35000,38297305,324,175000000,6.3
Captain America: The Winter Soldier ,Anthony Russo,Scarlett Johansson,576,136,94,32000,55000,259746958,742,170000000,7.8
Shrek Forever After ,Mike Mitchell,Jon Hamm,226,93,31,4438,17372,238371987,173,165000000,6.4
Tomorrowland ,Brad Bird,Judy Greer,443,130,663,3242,37000,93417865,497,190000000,6.5
Big Hero 6 ,Don Hall,Damon Wayans Jr.,384,102,38,2037,41000,222487711,433,165000000,7.9
Wreck-It Ralph ,Rich Moore,Jack McBrayer,377,101,66,2739,40000,189412677,345,165000000,7.8
The Polar Express ,Robert Zemeckis,Tom Hanks,188,100,976,15993,10000,665426,444,165000000,6.6
Independence Day: Resurgence ,Roland Emmerich,Vivica A. Fox,286,120,776,2237,67000,102315545,520,165000000,5.5
How to Train Your Dragon ,Dean DeBlois,Gerard Butler,288,98,255,19712,33000,217387997,492,165000000,8.2
Terminator 3: Rise of the Machines ,Jonathan Mostow,Nick Stahl,280,109,84,1123,17372,150350192,1676,200000000,6.4
Guardians of the Galaxy ,James Gunn,Bradley Cooper,653,121,571,31000,96000,333130696,1097,170000000,8.1
Interstellar ,Christopher Nolan,Matthew McConaughey,712,169,22000,28000,349000,187991439,2725,165000000,8.6
Inception ,Christopher Nolan,Leonardo DiCaprio,642,148,22000,79000,175000,292568851,2803,160000000,8.8
The Fast and the Furious ,Rob Cohen,Paul Walker,187,106,357,41000,14000,144512310,988,38000000,6.7
The Curious Case of Benjamin Button ,David Fincher,Brad Pitt,362,166,21000,12919,23000,127490802,822,150000000,7.8
X-Men: First Class ,Matthew Vaughn,Jennifer Lawrence,500,132,905,48000,54000,146405371,698,160000000,7.8
The Hunger Games: Mockingjay - Part 2 ,Francis Lawrence,Jennifer Lawrence,389,137,508,70000,38000,281666058,383,160000000,6.6
The Sorcerer's Apprentice ,Jon Turteltaub,Nicolas Cage,235,109,226,12788,11000,63143812,238,150000000,6.1
Poseidon ,Wolfgang Petersen,Jimmy Bennett,231,98,249,89702,17372,60655503,629,160000000,5.6
Alice Through the Looking Glass ,James Bobin,Johnny Depp,218,113,33,76000,30000,76846624,131,170000000,6.4
Shrek the Third ,Chris Miller,Justin Timberlake,227,93,50,4487,17372,320706665,326,160000000,6.1
Warcraft ,Duncan Jones,Dominic Cooper,275,123,976,4364,89000,46978995,781,160000000,7.3
Terminator Genisys ,Alan Taylor,J.K. Simmons,474,126,230,36000,82000,89732035,867,155000000,6.6
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Michael Apted,Bruce Spence,228,113,150,672,11000,104383624,227,155000000,6.3
Pearl Harbor ,Michael Bay,Jennifer Garner,191,184,976,4652,17372,198539855,1999,140000000,6.1
Transformers ,Michael Bay,Zack Ward,396,144,976,1842,8000,318759914,1782,150000000,7.1
Hancock ,Peter Berg,Will Smith,318,102,532,19979,17372,227946274,590,150000000,6.4
I Am Legend ,Francis Lawrence,Will Smith,323,104,508,11558,11000,256386216,1413,150000000,7.2
Charlie and the Chocolate Factory ,Tim Burton,Johnny Depp,276,115,13000,56588,17372,206456431,1361,150000000,6.7
Ratatouille ,Brad Bird,Janeane Garofalo,318,111,663,2954,10000,206435493,626,150000000,8
Batman Begins ,Christopher Nolan,Christian Bale,478,128,22000,48000,15000,205343774,2685,150000000,8.3
Madagascar: Escape 2 Africa ,Eric Darnell,Bernie Mac,167,89,35,2287,17372,179982968,119,150000000,6.7
Night at the Museum: Battle of the Smithsonian ,Shawn Levy,Robin Williams,185,105,189,53000,2000,177243721,209,150000000,5.9
X-Men Origins: Wolverine ,Gavin Hood,Hugh Jackman,350,119,151,38000,17372,179883016,641,150000000,6.7
Frozen ,Chris Buck,Josh Gad,406,102,69,2013,58000,400736600,904,150000000,7.6
The Matrix Reloaded ,Lana Wachowski,Steve Bastoni,275,138,976,462,17372,281492479,2789,150000000,7.2
Thor: The Dark World ,Alan Taylor,Chris Hemsworth,486,112,230,58000,63000,206360018,532,170000000,7.1
Angels & Demons ,Ron Howard,Tom Hanks,298,146,2000,16039,17372,133375846,435,150000000,6.7
Thor ,Kenneth Branagh,Chris Hemsworth,516,115,976,58000,63000,181015141,738,150000000,7
Bolt ,Byron Howard,Chloë Grace Moretz,225,96,59,18458,17372,114053579,178,150000000,6.9
G-Force ,Hoyt Yeatman,Kelli Garner,145,88,12,1519,17372,119420252,90,150000000,5.1
Wrath of the Titans ,Jonathan Liebesman,Liam Neeson,310,99,473,15399,19000,83640426,253,150000000,5.8
Dark Shadows ,Tim Burton,Johnny Depp,526,113,13000,73000,82000,79711678,479,100000000,6.2
The Wolfman ,Joe Johnston,Anthony Hopkins,357,119,394,12652,17372,61937495,432,150000000,5.8
Bee Movie ,Steve Hickner,Matthew Broderick,194,91,58,3678,17372,126597121,206,150000000,6.2
Kung Fu Panda 2 ,Jennifer Yuh Nelson,Angelina Jolie Pitt,284,90,90,21015,20000,165230261,209,150000000,7.3
The Last Airbender ,M. Night Shyamalan,Seychelle Gabriel,280,103,976,2102,18000,131564731,1382,150000000,4.2
Mission: Impossible III ,J.J. Abrams,Philip Seymour Hoffman,310,124,14000,32979,17372,133382309,871,150000000,6.9
White House Down ,Roland Emmerich,Channing Tatum,339,131,776,17807,33000,73103784,434,150000000,6.4
Mars Needs Moms ,Simon Wells,Elisabeth Harnois,132,88,25,1916,17372,21379315,112,150000000,5.4
Pan ,Joe Wright,Hugh Jackman,256,111,456,20942,24000,34964818,186,150000000,5.8
Mr. Peabody & Sherman ,Rob Minkoff,Ty Burrell,196,92,50,4517,11000,111505642,130,145000000,6.9
Troy ,Wolfgang Petersen,Brad Pitt,220,196,249,16844,17372,133228348,1694,175000000,7.2
Madagascar 3: Europe's Most Wanted ,Eric Darnell,Jada Pinkett Smith,211,93,35,2057,17000,216366733,154,145000000,6.9
Ghostbusters ,Paul Feig,Ed Begley Jr.,464,116,176,1475,62000,118099659,1211,144000000,5.5
Armageddon ,Michael Bay,Bruce Willis,167,153,976,25537,11000,201573391,1171,140000000,6.6
Men in Black II ,Barry Sonnenfeld,Will Smith,208,88,188,13826,2000,190418803,606,140000000,6.1
Beowulf ,Robert Zemeckis,Robin Wright,287,115,976,30964,3000,82161969,505,150000000,6.3
Kung Fu Panda 3 ,Alessandro Carloni,J.K. Simmons,210,95,5,35967,24000,143523463,145,145000000,7.2
Mission: Impossible - Ghost Protocol ,Brad Bird,Tom Cruise,432,133,663,20690,35000,209364921,512,145000000,7.4
Rise of the Guardians ,Peter Ramsey,Hugh Jackman,256,97,52,20476,25000,103400692,174,145000000,7.3
Fun with Dick and Jane ,Dean Parisot,John Michael Higgins,135,90,23,1740,2000,110332737,258,100000000,6.1
The Last Samurai ,Edward Zwick,Tom Cruise,190,154,380,11401,17372,111110575,928,140000000,7.7
Star Trek ,J.J. Abrams,Chris Hemsworth,518,127,14000,38981,19000,257704099,1559,150000000,8
Spider-Man ,Sam Raimi,J.K. Simmons,291,121,976,39000,5000,403706375,2012,139000000,7.3
How to Train Your Dragon 2 ,Dean DeBlois,Gerard Butler,292,102,255,21953,46000,176997107,343,145000000,7.9
Gods of Egypt ,Alex Proyas,Gerard Butler,184,126,295,19218,24000,31141074,273,140000000,5.5
Stealth ,Rob Cohen,Sam Shepard,145,121,357,2253,17372,31704416,388,135000000,5
Watchmen ,Zack Snyder,Matt Frewer,451,215,976,2144,18000,107503316,1229,130000000,7.7
Lethal Weapon 4 ,Richard Donner,Jet Li,141,127,503,5899,17372,129734803,287,140000000,6.6
Hulk ,Ang Lee,Kevin Rankin,267,138,976,1378,17372,132122995,1445,137000000,5.7
G.I. Joe: Retaliation ,Jon M. Chu,Channing Tatum,351,122,209,29934,42000,122512052,288,130000000,5.8
Final Fantasy: The Spirits Within ,Hironobu Sakaguchi,Steve Buscemi,166,106,6,14422,17372,32131830,788,137000000,6.4
Captain America: The First Avenger ,Joe Johnston,Chris Evans,510,124,394,16000,46000,176636816,679,140000000,6.9
Master and Commander: The Far Side of the World ,Peter Weir,James D'Arcy,244,138,608,953,17372,93926386,684,150000000,7.4
The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,Robert Pattinson,322,115,386,50000,65000,292298923,329,120000000,5.5
The Incredible Hulk ,Louis Leterrier,Ty Burrell,354,135,255,4882,17372,134518390,643,150000000,6.8
The Revenant ,Alejandro G. Iñárritu,Leonardo DiCaprio,556,156,976,56733,190000,183635922,1188,135000000,8.1
Turbo ,David Soren,Ryan Reynolds,166,96,13,17344,13000,83024900,90,135000000,6.5
Rango ,Gore Verbinski,Johnny Depp,362,107,563,41939,26000,123207194,337,135000000,7.2
Penguins of Madagascar ,Eric Darnell,Benedict Cumberbatch,153,92,35,19590,11000,83348920,118,132000000,6.7
The Bourne Ultimatum ,Paul Greengrass,Matt Damon,329,115,521,14780,17372,227137090,820,110000000,8.1
Kung Fu Panda ,Mark Osborne,Angelina Jolie Pitt,266,92,54,12529,6000,215395021,360,130000000,7.6
Ant-Man ,Peyton Reed,Judy Greer,517,117,235,4680,61000,180191634,549,130000000,7.4
The Hunger Games: Catching Fire ,Francis Lawrence,Jennifer Lawrence,502,146,508,48523,82000,424645577,706,130000000,7.6
Home ,Tim Johnson,Jim Parsons,165,94,12,17706,26000,177343675,214,135000000,6.7
War of the Worlds ,Steven Spielberg,Tom Cruise,401,116,14000,11807,17372,234277056,2741,132000000,6.5
Bad Boys II ,Michael Bay,Will Smith,94,147,976,11775,17372,138396624,511,130000000,6.6
Puss in Boots ,Chris Miller,Salma Hayek,246,90,50,4839,16000,149234747,137,130000000,6.7
Salt ,Phillip Noyce,Angelina Jolie Pitt,330,101,176,11984,23000,118311368,514,110000000,6.4
Noah ,Darren Aronofsky,Anthony Hopkins,434,138,976,29000,71000,101160529,1240,125000000,5.8
The Adventures of Tintin ,Steven Spielberg,Toby Jones,440,107,14000,3716,44000,77564037,447,135000000,7.4
After Earth ,M. Night Shyamalan,Will Smith,349,100,976,11837,37000,60522097,744,130000000,4.9
Dinosaur ,Eric Leighton,Alfre Woodard,145,82,976,1946,17372,137748063,241,127500000,6.5
Night at the Museum: Secret of the Tomb ,Shawn Levy,Robin Williams,154,98,189,53000,11000,113733726,126,127000000,6.2
Megamind ,Tom McGrath,J.K. Simmons,233,95,96,43000,13000,148337537,187,130000000,7.3
R.I.P.D. ,Robert Schwentke,Ryan Reynolds,208,96,124,29000,20000,33592415,210,130000000,5.6
Pirates of the Caribbean: The Curse of the Black Pearl ,Gore Verbinski,Johnny Depp,271,143,563,46000,10000,305388685,2113,140000000,8.1
The Hunger Games: Mockingjay - Part 1 ,Francis Lawrence,Jennifer Lawrence,403,123,508,70000,52000,337103873,591,125000000,6.7
The Da Vinci Code ,Ron Howard,Tom Hanks,294,174,2000,15936,17372,217536138,1966,125000000,6.6
Rio 2 ,Carlos Saldanha,Miguel Ferrer,159,101,107,981,17372,131536019,99,103000000,6.4
Fast Five ,Justin Lin,Paul Walker,342,132,681,49000,54000,209805005,366,125000000,7.3
Sherlock Holmes: A Game of Shadows ,Guy Ritchie,Robert Downey Jr.,382,129,976,22133,39000,186830669,412,125000000,7.5
Clash of the Titans ,Louis Leterrier,Liam Neeson,344,106,255,15850,15000,163192114,637,125000000,5.8
Total Recall ,Paul Verhoeven,Ronny Cox,196,113,719,1130,17372,119412921,391,65000000,7.5
The 13th Warrior ,John McTiernan,Tony Curran,85,102,323,1458,17372,32694788,546,85000000,6.6
The Bourne Legacy ,Tony Gilroy,Jeremy Renner,436,135,209,11428,31000,113165635,504,125000000,6.7
Batman & Robin ,Joel Schumacher,Michael Gough,183,125,541,2219,17372,107285004,1018,125000000,3.7
How the Grinch Stole Christmas ,Ron Howard,Clint Howard,175,110,2000,2358,17372,260031035,482,123000000,6
The Day After Tomorrow ,Roland Emmerich,Jake Gyllenhaal,239,124,776,17812,19000,186739919,1159,125000000,6.4
Mission: Impossible II ,John Woo,Tom Cruise,237,123,610,11447,17372,215397307,1426,125000000,6.1
The Perfect Storm ,Wolfgang Petersen,Karen Allen,231,130,249,1883,17372,182618434,779,140000000,6.4
Fantastic 4: Rise of the Silver Surfer ,Tim Story,Chris Evans,262,92,167,13702,17372,131920333,436,130000000,5.6
Life of Pi ,Ang Lee,Suraj Sharma,552,127,976,1473,122000,124976634,755,120000000,8
Ghost Rider ,Mark Steven Johnson,Nicolas Cage,276,123,160,13103,17372,115802596,681,110000000,5.2
Charlie's Angels: Full Throttle ,McG,Demi Moore,102,107,368,4000,17372,100685880,554,120000000,4.8
Prometheus ,Ridley Scott,Michael Fassbender,775,124,976,22641,97000,126464904,2326,130000000,7
Stuart Little 2 ,Rob Minkoff,Nathan Lane,71,77,50,2222,459,64736114,69,120000000,5.4
Elysium ,Neill Blomkamp,Matt Damon,476,109,662,16000,61000,93050117,814,115000000,6.6
The Chronicles of Riddick ,David Twohy,Vin Diesel,207,134,123,15417,17372,57637485,666,105000000,6.7
RoboCop ,José Padilha,Gary Oldman,492,117,294,13000,60000,58607007,630,100000000,6.2
Speed Racer ,Lana Wachowski,Scott Porter,284,135,976,884,17372,43929341,414,120000000,6.1
How Do You Know ,James L. Brooks,Shelley Conn,168,121,274,646,17372,30212620,196,120000000,5.3
Knight and Day ,James Mangold,Tom Cruise,283,117,446,11850,11000,76418654,348,117000000,6.3
Oblivion ,Joseph Kosinski,Morgan Freeman,539,124,364,22000,71000,89021735,892,120000000,7
Star Wars: Episode III - Revenge of the Sith ,George Lucas,Natalie Portman,359,140,976,40000,10000,380262555,3286,113000000,7.6
Star Wars: Episode II - Attack of the Clones ,George Lucas,Natalie Portman,284,142,976,40000,17372,310675583,3516,115000000,6.7
"Monsters, Inc. ",Pete Docter,Steve Buscemi,250,92,976,13773,17372,289907418,593,115000000,8.1
The Wolverine ,James Mangold,Hugh Jackman,440,138,446,21921,68000,132550960,533,120000000,6.7
Star Wars: Episode I - The Phantom Menace ,George Lucas,Natalie Portman,320,136,976,35000,13000,474544677,3597,115000000,6.5
The Croods ,Kirk De Micco,Ryan Reynolds,257,98,16,43000,28000,187165546,195,135000000,7.3
Windtalkers ,John Woo,Nicolas Cage,152,153,610,13453,17372,40911830,454,115000000,6
The Huntsman: Winter's War ,Cedric Nicolas-Troyan,Chris Hemsworth,231,120,19,46000,16000,47952020,134,115000000,6.1
Teenage Mutant Ninja Turtles ,Jonathan Liebesman,Noel Fisher,348,101,473,2071,62000,190871240,491,125000000,5.9
Dante's Peak ,Roger Donaldson,Jamie Renée Smith,93,108,79,1211,17372,67155742,277,116000000,5.8
Fantastic Four ,Josh Trank,Tim Blake Nelson,369,100,128,1034,41000,56114221,695,120000000,4.3
Night at the Museum ,Shawn Levy,Robin Williams,179,108,189,53000,3000,250863268,444,110000000,6.4
San Andreas ,Brad Peyton,Dwayne Johnson,358,114,62,14884,52000,155181732,499,110000000,6.1
The Patriot ,Roland Emmerich,Heath Ledger,192,142,776,16000,4000,113330342,1144,110000000,7.1
Ocean's Twelve ,Steven Soderbergh,Brad Pitt,198,125,976,19350,17372,125531634,627,110000000,6.4
Mr. & Mrs. Smith ,Doug Liman,Brad Pitt,233,126,218,22322,17372,186336103,798,120000000,6.5
Insurgent ,Robert Schwentke,Kate Winslet,263,119,124,20000,27000,129995817,258,110000000,6.3
The Aviator ,Martin Scorsese,Leonardo DiCaprio,267,170,17000,32827,17372,102608827,799,110000000,7.5
Gulliver's Travels ,Rob Letterman,James Corden,184,85,11,988,17372,42776259,121,112000000,4.9
The Green Hornet ,Michel Gondry,Christoph Waltz,447,119,1000,12741,14000,98780042,443,120000000,5.8
300: Rise of an Empire ,Noam Murro,Eva Green,366,102,263,8000,71000,106369117,523,110000000,6.2
The Smurfs ,Raja Gosnell,Mahadeo Shivraj,172,103,67,607,31000,142614158,153,110000000,5.5
Home on the Range ,Will Finn,Steve Buscemi,104,76,6,12934,304,50026353,88,110000000,5.4
Allegiant ,Robert Schwentke,Naomi Watts,181,120,124,11943,12000,66002193,144,110000000,5.8
Real Steel ,Shawn Levy,Hugh Jackman,327,127,189,21473,36000,85463309,426,110000000,7.1
The Smurfs 2 ,Raja Gosnell,Jacob Tremblay,125,105,67,792,17372,71017784,59,105000000,5.4
Speed 2: Cruise Control ,Jan de Bont,Jason Patric,79,121,101,1243,894,48068396,248,160000000,3.7
Ender's Game ,Gavin Hood,Harrison Ford,326,114,151,12065,123000,61656849,554,110000000,6.7
Live Free or Die Hard ,Len Wiseman,Bruce Willis,354,129,235,13597,17372,134520804,782,110000000,7.2
Around the World in 80 Days ,Frank Coraci,Jim Broadbent,188,120,153,2447,17372,24004159,191,110000000,5.8
Ali ,Michael Mann,Will Smith,174,165,976,11631,17372,58183966,386,107000000,6.8
The Cat in the Hat ,Bo Welch,Sean Hayes,109,82,34,1937,946,100446895,456,109000000,3.8
"I, Robot ",Alex Proyas,Will Smith,225,115,295,11447,17372,144795350,789,120000000,7.1
Kingdom of Heaven ,Ridley Scott,Liam Neeson,239,194,976,19195,17372,47396698,942,130000000,7.2
The Princess and the Frog ,Ron Clements,Oprah Winfrey,228,97,63,1955,5000,104374107,214,105000000,7.1
The Martian ,Ridley Scott,Matt Damon,568,151,976,14173,153000,228430993,1023,108000000,8.1
The Island ,Michael Bay,Scarlett Johansson,257,136,976,34000,17372,35799026,899,126000000,6.9
Gone in Sixty Seconds ,Dominic Sena,Nicolas Cage,175,127,57,26000,17372,101643008,498,90000000,6.5
Gladiator ,Ridley Scott,Djimon Hounsou,265,171,976,4628,21000,187670866,2368,103000000,8.5
Minority Report ,Steven Spielberg,Tom Cruise,252,145,14000,11331,17372,132014112,1331,102000000,7.7
Planet of the Apes ,Tim Burton,Cary-Hiroyuki Tagawa,230,119,13000,2225,17372,180011740,1368,100000000,5.7
Terminator 2: Judgment Day ,James Cameron,Joe Morton,210,153,976,1923,13000,204843350,983,102000000,8.5
Public Enemies ,Michael Mann,Johnny Depp,357,140,976,64000,17372,97030725,585,100000000,7
American Gangster ,Ridley Scott,Denzel Washington,300,176,976,19343,17372,130127620,458,100000000,7.8
True Lies ,James Cameron,Jamie Lee Curtis,94,141,976,3618,17372,146282411,351,115000000,7.2
The Taking of Pelham 1 2 3 ,Tony Scott,Denzel Washington,267,106,12000,18849,17372,65452312,285,100000000,6.4
Little Fockers ,Paul Weitz,Robert De Niro,180,98,80,23421,17372,148383780,152,100000000,5.5
The Other Guys ,Adam McKay,Dwayne Johnson,265,116,285,20107,16000,119219978,316,100000000,6.7
Eraser ,Chuck Russell,Vanessa Williams,81,115,55,2156,17372,101228120,131,100000000,6.1
Django Unchained ,Quentin Tarantino,Leonardo DiCaprio,765,165,16000,40265,199000,162804648,1193,100000000,8.5
The Hunchback of Notre Dame ,Gary Trousdale,Demi Moore,80,91,21,3242,17372,100117603,230,100000000,6.9
The Emperor's New Groove ,Mark Dindal,Eartha Kitt,141,78,10,1263,17372,89296573,297,100000000,7.3
The Expendables 2 ,Simon West,Jason Statham,383,103,165,52000,108000,85017401,474,92000000,6.7
National Treasure ,Jon Turteltaub,Nicolas Cage,193,131,226,12966,17372,173005002,692,100000000,6.9
Eragon ,Stefen Fangmeier,Djimon Hounsou,170,104,14,3965,17372,75030163,1690,100000000,5.1
Epic ,Chris Wedge,Josh Hutcherson,203,102,77,14271,17000,107515297,113,100000000,6.7
The Tourist ,Florian Henckel von Donnersmarck,Johnny Depp,321,103,207,54000,25000,67631157,374,100000000,6
End of Days ,Peter Hyams,CCH Pounder,174,121,976,2595,2000,66862068,524,83000000,5.7
