movie_title,director_name,actor_1_name,num_critic_for_reviews,duration,director_facebook_likes,actor_facebook_likes,movie_facebook_likes,gross,num_user_for_reviews, budget ,imdb_score
Contact ,Robert Zemeckis,Matthew McConaughey,159,150,976,12135,15000,100853835,611,"90,000,000",7.4
Hollow Man ,Paul Verhoeven,Greg Grunberg,180,119,719,1880,17372,73209340,628,"95,000,000",5.7
Percy Jackson: Sea of Monsters ,Thor Freudenthal,Logan Lerman,183,106,87,9874,28000,68558662,204,"90,000,000",5.9
Lara Croft Tomb Raider: The Cradle of Life ,Jan de Bont,Gerard Butler,157,117,101,32000,17372,65653758,316,"95,000,000",5.5
Now You See Me 2 ,Jon M. Chu,Daniel Radcliffe,196,129,209,22886,15000,64685359,139,"90,000,000",6.9
The Saint ,Phillip Noyce,Alun Armstrong,64,116,176,393,17372,61355436,184,"68,000,000",6.2
Mission to Mars ,Brian De Palma,Don Cheadle,181,114,976,4214,17372,60874615,949,"90,000,000",5.6
Rio ,Carlos Saldanha,Anne Hathaway,240,96,107,11910,19000,143618384,186,"90,000,000",7
Volcano ,Mick Jackson,Don Cheadle,84,104,81,4255,2000,47474112,181,"90,000,000",5.4
The Devil's Own ,Alan J. Pakula,Harrison Ford,66,111,79,24000,979,42877165,114,"86,000,000",6.1
Conan the Barbarian ,John Milius,William Smith,166,129,468,1793,17372,37567440,337,"20,000,000",6.9
Cinderella Man ,Ron Howard,Paddy Considine,201,144,2000,1872,17372,61644321,529,"88,000,000",8
Seabiscuit ,Gary Ross,Jeff Bridges,175,140,378,13546,17372,120147445,455,"87,000,000",7.3
Enchanted ,Kevin Lima,Jeff Bennett,222,107,36,543,17372,127706877,399,"85,000,000",7.1
102 Dalmatians ,Kevin Lima,Ioan Gruffudd,84,100,36,3234,372,66941559,77,"85,000,000",4.8
Tower Heist ,Brett Ratner,Matthew Broderick,236,104,420,3441,17372,78009155,194,"75,000,000",6.2
The Holiday ,Nancy Meyers,Kate Winslet,157,138,278,17213,19000,63224849,483,"85,000,000",6.9
It's Complicated ,Nancy Meyers,Meryl Streep,187,120,278,13963,17372,112703470,214,"85,000,000",6.6
Open Season ,Roger Allers,Jon Favreau,107,83,28,5274,863,84303558,100,"85,000,000",6.2
Divergent ,Neil Burger,Kate Winslet,459,139,168,20000,49000,150832203,713,"85,000,000",6.7
Enemy at the Gates ,Jean-Jacques Annaud,Bob Hoskins,187,131,218,5064,17372,51396781,662,"68,000,000",7.6
The Rundown ,Peter Berg,Dwayne Johnson,151,104,532,15557,17372,47592825,255,"85,000,000",6.7
Last Action Hero ,John McTiernan,F. Murray Abraham,80,130,323,1442,17372,50016394,257,"70,000,000",6.2
Memoirs of a Geisha ,Rob Marshall,Li Gong,229,145,252,1780,17372,57010853,548,"85,000,000",7.3
The Fast and the Furious: Tokyo Drift ,Justin Lin,Amber Stevens West,158,104,681,970,17372,62494975,378,"85,000,000",6
Meet Joe Black ,Martin Brest,Anthony Hopkins,98,178,102,23551,10000,44606335,703,"90,000,000",7.1
Collateral Damage ,Andrew Davis,Raymond Cruz,135,108,99,1018,941,40048332,339,"85,000,000",5.5
Mirror Mirror ,Tarsem Singh,Julia Roberts,382,106,763,9695,18000,64933670,208,"85,000,000",5.6
Scott Pilgrim vs. the World ,Edgar Wright,Anna Kendrick,393,112,1000,11719,36000,31494270,522,"60,000,000",7.5
The Core ,Jon Amiel,Glenn Morshower,149,135,36,1345,17372,31111260,466,"60,000,000",5.4
Nutty Professor II: The Klumps ,Peter Segal,Larry Miller,94,109,88,1774,374,123307945,171,"65,000,000",4.3
Scooby-Doo ,Raja Gosnell,Sarah Michelle Gellar,138,86,67,6271,17372,153288182,521,"84,000,000",4.9
Click ,Frank Coraci,Adam Sandler,173,107,153,12233,7000,137340146,685,"70,000,000",6.4
Cats & Dogs: The Revenge of Kitty Galore ,Brad Peyton,Jack McBrayer,91,82,62,2350,17372,43575716,63,"85,000,000",4.3
Jumper ,Doug Liman,Kristen Stewart,238,88,218,21521,17372,80170146,488,"85,000,000",6.1
Hellboy II: The Golden Army ,Guillermo del Toro,Seth MacFarlane,345,120,976,3329,3000,75754670,342,"85,000,000",7
The 6th Day ,Roger Spottiswoode,Robert Duvall,170,123,55,4931,17372,34543701,289,"82,000,000",5.9
Lilo & Stitch ,Dean DeBlois,Tia Carrere,180,85,255,1976,17372,145771527,367,"80,000,000",7.2
Deep Impact ,Mimi Leder,Morgan Freeman,125,120,75,18000,17372,140459099,493,"75,000,000",6.1
RED 2 ,Dean Parisot,Bruce Willis,234,116,23,25110,22000,53215979,205,"84,000,000",6.7
Alvin and the Chipmunks: Chipwrecked ,Mike Mitchell,Amy Poehler,91,87,31,2733,17372,133103929,56,"75,000,000",4.4
Something's Gotta Give ,Nancy Meyers,Keanu Reeves,145,128,278,22343,17372,124590960,402,"80,000,000",6.7
Robots ,Chris Wedge,Jim Broadbent,163,91,77,1519,17372,128200012,269,"75,000,000",6.3
Face/Off ,John Woo,Nicolas Cage,155,138,610,13805,11000,112225777,535,"80,000,000",7.3
Bedtime Stories ,Adam Shankman,Adam Sandler,144,99,163,12364,17372,109993847,116,"80,000,000",6.1
Road to Perdition ,Sam Mendes,Tom Hanks,226,117,976,16818,17372,104054514,1009,"80,000,000",7.7
Just Go with It ,Dennis Dugan,Adam Sandler,204,117,221,14503,19000,103028109,203,"80,000,000",6.4
Con Air ,Simon West,Steve Buscemi,139,123,165,13622,17372,101087161,339,"75,000,000",6.8
Eagle Eye ,D.J. Caruso,Rosario Dawson,215,118,154,4897,17372,101111837,318,"80,000,000",6.6
The Haunting ,Jan de Bont,Liam Neeson,167,113,101,15873,17372,91188905,805,"80,000,000",4.9
Space Jam ,Joe Pytka,Bill Murray,46,88,30,14333,17372,90443603,123,"80,000,000",6.3
The Pink Panther ,Shawn Levy,Roger Rees,147,93,189,1215,17372,82226474,424,"65,000,000",5.6
The Day the Earth Stood Still ,Scott Derrickson,Keanu Reeves,276,104,301,22071,17372,79363785,698,"80,000,000",5.5
Conspiracy Theory ,Richard Donner,Julia Roberts,80,135,503,8204,17372,76081498,162,"75,000,000",6.7
Six Days Seven Nights ,Ivan Reitman,Harrison Ford,97,98,425,12040,17372,74329966,164,"70,000,000",5.7
Yogi Bear ,Eric Brevig,Justin Timberlake,143,80,40,4017,17372,100169068,100,"80,000,000",4.6
Spirit: Stallion of the Cimarron ,Kelly Asbury,Matt Damon,106,83,21,13998,4000,73215310,216,"80,000,000",7
Zookeeper ,Frank Coraci,Rosario Dawson,178,102,153,4269,17372,80360866,127,"80,000,000",5.2
Lost in Space ,Stephen Hopkins,Gary Oldman,102,130,81,11309,17372,69102910,370,"80,000,000",5.1
The Manchurian Candidate ,Jonathan Demme,Denzel Washington,209,129,438,19502,17372,65948711,363,"80,000,000",6.6
Fantasia 2000 ,James Algar,Quincy Jones,129,74,11,645,607,60507228,186,"80,000,000",7.3
The Time Machine ,Simon Wells,Mark Addy,124,96,25,1632,3000,56684819,615,"80,000,000",5.9
Mighty Joe Young ,Ron Underwood,Charlize Theron,35,114,31,9868,17372,50628009,88,"90,000,000",5.6
Swordfish ,Dominic Sena,Hugh Jackman,166,99,57,23820,17372,69772969,543,"80,000,000",6.5
The Legend of Zorro ,Martin Campbell,Michael Emerson,137,129,258,2440,951,45356386,244,"75,000,000",5.9
Little Nicky ,Steven Brill,Adam Sandler,87,90,65,22658,17372,39442871,237,"80,000,000",5.3
Surrogates ,Jonathan Mostow,Bruce Willis,258,89,84,15000,17372,38542418,252,"80,000,000",6.3
Thirteen Days ,Roger Donaldson,Bruce Greenwood,162,145,79,1438,17372,34566746,315,"80,000,000",7.3
Daylight ,Rob Cohen,Sylvester Stallone,61,114,357,23366,17372,32885565,101,"80,000,000",5.8
Walking with Dinosaurs 3D ,Barry Cook,Charlie Rowe,113,87,43,1488,17372,36073232,66,"80,000,000",5.2
Journey 2: The Mysterious Island ,Brad Peyton,Josh Hutcherson,178,94,62,26722,17372,103812241,133,"79,000,000",5.8
Cloudy with a Chance of Meatballs 2 ,Cody Cameron,Will Forte,169,95,18,801,15000,119793567,85,"78,000,000",6.5
2 Fast 2 Furious ,John Singleton,Paul Walker,150,107,309,24558,17372,127083765,370,"76,000,000",5.9
The League of Extraordinary Gentlemen ,Stephen Norrington,Jason Flemyng,202,110,45,2717,17372,66462600,786,"78,000,000",5.8
Children of Men ,Alfonso Cuarón,Charlie Hunnam,372,109,976,16448,17000,35286428,1206,"76,000,000",7.9
Wanted ,Timur Bekmambetov,Angelina Jolie Pitt,316,110,335,22988,17372,134568845,713,"75,000,000",6.7
50 First Dates ,Peter Segal,Adam Sandler,147,99,88,11755,11000,120776832,456,"75,000,000",6.8
Hairspray ,Adam Shankman,Jerry Stiller,219,117,163,1318,17372,118823091,401,"75,000,000",6.7
Exorcist: The Beginning ,Renny Harlin,James D'Arcy,167,125,212,1429,893,41814863,308,"50,000,000",5.1
Inspector Gadget ,David Kellogg,Matthew Broderick,70,110,16,3402,509,97360069,231,"75,000,000",4.1
Hotel for Dogs ,Thor Freudenthal,Don Cheadle,107,100,87,4022,1000,73023275,57,"35,000,000",5.4
Vertical Limit ,Martin Campbell,Nicholas Lea,134,124,258,2441,17372,68473360,379,"75,000,000",5.9
Dreamgirls ,Bill Condon,Loretta Devine,241,130,386,1986,17372,103338338,503,"70,000,000",6.5
Be Cool ,F. Gary Gray,Dwayne Johnson,161,118,473,13680,17372,55808744,323,"53,000,000",5.7
Tears of the Sun ,Antoine Fuqua,Bruce Willis,89,142,845,14787,17372,43426961,394,"70,000,000",6.6
Killers ,Robert Luketic,Tom Selleck,140,100,126,20925,17372,47000485,120,"75,000,000",5.4
The Man from U.N.C.L.E. ,Guy Ritchie,Henry Cavill,362,116,976,15613,43000,45434443,360,"75,000,000",7.3
Spanglish ,James L. Brooks,Adam Sandler,124,131,274,12102,17372,42044321,342,"80,000,000",6.5
Monster House ,Gil Kenan,Steve Buscemi,190,91,27,13895,17372,73661010,229,"75,000,000",6.6
Bandits ,Barry Levinson,Bruce Willis,132,123,272,13643,17372,41523271,261,"80,000,000",6.6
First Knight ,Jerry Zucker,Julia Ormond,53,134,109,1471,17372,37600435,180,"55,000,000",5.9
Anna and the King ,Andy Tennant,Bai Ling,91,148,72,784,17372,39251128,217,"75,000,000",6.7
Immortals ,Tarsem Singh,Henry Cavill,284,110,763,16222,30000,83503161,405,"75,000,000",6.1
Hollywood Homicide ,Ron Shelton,Harrison Ford,132,116,41,12523,648,30013346,254,"75,000,000",5.3
Flight of the Phoenix ,John Moore,Dennis Quaid,114,113,212,3413,1000,21009180,222,"45,000,000",6.1
Unbreakable ,M. Night Shyamalan,Robin Wright,294,106,976,31963,17372,94999143,1344,"75,000,000",7.2
Sucker Punch ,Zack Snyder,Jon Hamm,435,128,976,6826,42000,36381716,918,"82,000,000",6.1
Snake Eyes ,Brian De Palma,Nicolas Cage,117,98,976,13551,880,55585389,241,"69,000,000",5.9
Sphere ,Barry Levinson,Peter Coyote,108,134,272,1033,17372,36976367,274,"75,000,000",6
The Angry Birds Movie ,Clay Kaytis,Peter Dinklage,141,97,6,23415,14000,107225164,126,"73,000,000",6.3
Fool's Gold ,Andy Tennant,Matthew McConaughey,176,112,72,12715,17372,70224196,138,"70,000,000",5.6
Funny People ,Judd Apatow,Adam Sandler,230,153,976,11691,17372,51814190,301,"75,000,000",6.4
The Kingdom ,Peter Berg,Jennifer Garner,234,110,532,4099,17372,47456450,289,"70,000,000",7.1
Talladega Nights: The Ballad of Ricky Bobby ,Adam McKay,Will Ferrell,164,122,285,9989,17372,148213377,437,"73,000,000",6.6
Dr. Dolittle 2 ,Steve Carr,Raven-Symoné,91,87,41,2266,266,112950721,79,"72,000,000",4.6
Braveheart ,Mel Gibson,Mhairi Calvey,132,178,976,1775,17000,75600000,1065,"72,000,000",8.4
The Majestic ,Frank Darabont,Martin Landau,128,152,976,2511,17372,27796042,376,"72,000,000",6.9
Driven ,Renny Harlin,Sylvester Stallone,109,116,212,14120,886,32616869,346,"72,000,000",4.5
The Village ,M. Night Shyamalan,Bryce Dallas Howard,261,108,976,5882,17372,114195633,2003,"60,000,000",6.5
Doctor Dolittle ,Betty Thomas,Oliver Platt,73,85,84,2595,694,144156464,98,"71,500,000",5.3
Runaway Bride ,Garry Marshall,Julia Roberts,103,116,976,11995,17372,152149590,255,"70,000,000",5.5
xXx ,Rob Cohen,Vin Diesel,191,132,357,14435,10000,141204016,737,"70,000,000",5.8
Ransom ,Ron Howard,Lili Taylor,79,139,2000,2616,1000,136448821,158,"80,000,000",6.6
Die Hard 2 ,Renny Harlin,Bruce Willis,142,124,212,14558,17372,117541000,316,"70,000,000",7.1
S.W.A.T. ,Clark Johnson,Jeremy Renner,144,117,69,12000,17372,116643346,340,"80,000,000",6
Vanilla Sky ,Cameron Crowe,Tom Cruise,153,141,488,11343,17372,100614858,1248,"68,000,000",6.9
Lady in the Water ,M. Night Shyamalan,Bryce Dallas Howard,284,110,976,4138,17372,42272747,1040,"70,000,000",5.6
AVP: Alien vs. Predator ,Paul W.S. Anderson,Sanaa Lathan,247,109,545,2379,17372,80281096,1283,"60,000,000",5.6
We Were Soldiers ,Randall Wallace,Jon Hamm,141,124,130,5814,5000,78120196,742,"75,000,000",7.1
Olympus Has Fallen ,Antoine Fuqua,Gerard Butler,358,119,845,29992,45000,98895417,698,"70,000,000",6.5
Star Trek: Insurrection ,Jonathan Frakes,LeVar Burton,160,103,906,2654,1000,70117571,515,"58,000,000",6.4
Battle Los Angeles ,Jonathan Liebesman,Noel Fisher,355,116,473,1994,25000,83552429,800,"70,000,000",5.8
Wolf ,Mike Nichols,David Hyde Pierce,59,125,976,904,17372,65012000,137,"70,000,000",6.2
The Monuments Men ,George Clooney,Bill Murray,371,118,976,26559,34000,78031620,403,"70,000,000",6.1
The Abyss ,James Cameron,Michael Biehn,82,171,976,3288,17372,54222000,380,"69,500,000",7.6
Wall Street: Money Never Sleeps ,Oliver Stone,Frank Langella,297,136,976,1512,13000,52474616,245,"70,000,000",6.3
Dracula Untold ,Gary Shore,Dominic Cooper,261,92,28,4115,37000,55942830,423,"70,000,000",6.3
The Siege ,Edward Zwick,Denzel Washington,120,116,380,31774,17372,40932372,281,"70,000,000",6.3
Seven Years in Tibet ,Jean-Jacques Annaud,Brad Pitt,76,136,218,12091,17372,37901509,119,"70,000,000",7
The Dilemma ,Ron Howard,Channing Tatum,185,111,2000,18244,17372,48430355,141,"70,000,000",5.3
Bad Company ,Joel Schumacher,Anthony Hopkins,128,116,541,12789,792,30157016,189,"70,000,000",5.6
I Spy ,Betty Thomas,Gary Cole,105,97,84,1368,531,33105600,141,"70,000,000",5.4
Underworld: Awakening ,Måns Mårlind,Theo James,242,88,24,5651,24000,62321039,271,"70,000,000",6.4
Rock of Ages ,Adam Shankman,James Martin Kelly,360,136,163,677,33000,38509342,356,"75,000,000",5.9
Hart's War ,Gregory Hoblit,Bruce Willis,112,125,40,14194,997,19076815,196,"60,000,000",6.3
Sky Captain and the World of Tomorrow ,Kerry Conran,Angelina Jolie Pitt,197,106,14,12582,17372,37760080,618,"70,000,000",6.1
Escape Plan ,Mikael Håfström,Sylvester Stallone,286,115,101,14585,34000,25121291,279,"50,000,000",6.7
The Sum of All Fears ,Phil Alden Robinson,Morgan Freeman,176,124,31,12152,17372,118471320,568,"68,000,000",6.4
The Score ,Frank Oz,Robert De Niro,141,124,976,32580,17372,71069884,445,"68,000,000",6.8
Money Train ,Joseph Ruben,Vincent Pastore,40,105,29,901,617,35324232,62,"68,000,000",5.6
Ted 2 ,Seth MacFarlane,Liam Neeson,280,125,3000,28000,30000,81257500,229,"68,000,000",6.4
Mystery Men ,Kinka Usher,Janeane Garofalo,125,121,18,2631,17372,29655590,435,"65,000,000",6
Hall Pass ,Bobby Farrelly,Jenna Fischer,237,111,101,2566,10000,45045037,143,"36,000,000",5.9
The Insider ,Michael Mann,Al Pacino,209,157,976,15506,17372,28965197,521,"68,000,000",7.9
Body of Lies ,Ridley Scott,Leonardo DiCaprio,238,128,976,29284,17372,39380442,263,"70,000,000",7.1
Entrapment ,Jon Amiel,Will Patton,138,113,36,1196,17372,87704396,274,"66,000,000",6.2
The X Files ,Rob Bowman,Martin Landau,142,121,38,2511,17372,83892374,297,"66,000,000",7
Need for Speed ,Scott Waugh,Rami Malek,327,132,76,6464,32000,43568507,346,"66,000,000",6.5
Dreamcatcher ,Lawrence Kasdan,Morgan Freeman,175,136,759,11953,4000,33685268,662,"68,000,000",5.5
The Santa Clause 2 ,Michael Lembeck,Judge Reinhold,80,104,54,2533,1000,139225854,116,"60,000,000",5.5
You've Got Mail ,Nora Ephron,Tom Hanks,153,119,976,16537,17372,115731542,556,"65,000,000",6.5
Step Brothers ,Adam McKay,Will Ferrell,173,106,285,11105,17372,100468793,277,"65,000,000",6.9
The Mask of Zorro ,Martin Campbell,Anthony Hopkins,156,136,258,12268,17372,93771072,318,"65,000,000",6.7
Due Date ,Todd Phillips,Robert Downey Jr.,307,95,480,22051,25000,100448498,285,"65,000,000",6.6
Cliffhanger ,Renny Harlin,Sylvester Stallone,74,124,212,14099,17372,84049211,172,"70,000,000",6.4
Broken Arrow ,John Woo,Delroy Lindo,72,108,610,1826,17372,70450000,189,"50,000,000",6
The Kid ,Jon Turteltaub,Bruce Willis,86,104,226,14295,17372,69688384,139,"60,000,000",6.1
World Trade Center ,Oliver Stone,Nicolas Cage,242,129,976,13625,17372,70236496,564,"63,000,000",6
Mona Lisa Smile ,Mike Newell,Julia Roberts,141,117,179,12403,17372,63695760,264,"65,000,000",6.4
Annie ,Will Gluck,Quvenzhané Wallis,176,118,87,3929,16000,85911262,213,"65,000,000",5.2
Focus ,Glenn Ficarra,Will Smith,279,105,43,11329,23000,53846915,221,"50,100,000",6.6
This Means War ,McG,Tom Hardy,241,103,368,28520,18000,54758461,238,"65,000,000",6.3
Blade: Trinity ,David S. Goyer,Ryan Reynolds,185,122,687,17957,17372,52397389,514,"65,000,000",5.9
Death Race ,Paul W.S. Anderson,Jason Statham,230,111,545,27677,17372,36064910,211,"45,000,000",6.4
The Long Kiss Goodnight ,Renny Harlin,Melina Kanakaredes,94,121,212,1037,4000,33328051,285,"65,000,000",6.7
Proof of Life ,Taylor Hackford,Pamela Reed,134,135,138,700,892,32598931,265,"65,000,000",6.2
We Are Marshall ,McG,Matthew McConaughey,96,131,368,11912,17372,43532294,175,"65,000,000",7.1
Random Hearts ,Sydney Pollack,Harrison Ford,96,133,521,12970,295,31054924,290,"64,000,000",5.1
Wyatt Earp ,Lawrence Kasdan,Dennis Quaid,40,212,759,3737,17372,25052000,145,"63,000,000",6.6
Clear and Present Danger ,Phillip Noyce,Harrison Ford,42,141,176,12585,17372,122012710,133,"62,000,000",6.9
Littleman ,Keenen Ivory Wayans,Chazz Palminteri,78,98,322,2564,17372,58255287,187,"64,000,000",4.3
The American President ,Rob Reiner,Shawna Waldron,75,114,976,1493,17372,65000000,214,"62,000,000",6.8
The Love Guru ,Marco Schnabel,Justin Timberlake,150,87,12,4611,17372,32178777,250,"62,000,000",3.8
3000 Miles to Graceland ,Demian Lichtenstein,Jon Lovitz,113,125,11,12771,17372,15738632,399,"42,000,000",5.9
Blades of Glory ,Josh Gordon,Will Ferrell,191,93,8,9970,17372,118153533,246,"61,000,000",6.3
Hop ,Tim Hill,Gary Cole,156,95,25,2092,17372,108012170,82,"63,000,000",5.5
Marley & Me ,David Frankel,Eric Dane,180,115,64,3563,11000,143151473,320,"60,000,000",7.1
The Green Mile ,Frank Darabont,Tom Hanks,186,189,976,16438,30000,136801374,1377,"60,000,000",8.5
The Bourne Identity ,Doug Liman,Matt Damon,249,119,218,13220,17372,121468960,849,"60,000,000",7.9
The General's Daughter ,Simon West,Daniel von Bargen,113,116,165,1553,885,102678089,274,"95,000,000",6.3
The Truman Show ,Peter Weir,Natascha McElhone,213,103,608,3193,18000,125603360,877,"60,000,000",8.1
The Prince of Egypt ,Brenda Chapman,Martin Short,120,99,59,1178,17372,101217900,353,"70,000,000",7
Daddy Day Care ,Steve Carr,Anjelica Huston,81,92,41,2477,886,104148781,116,"60,000,000",5.5
2 Guns ,Baltasar Kormákur,Denzel Washington,265,109,175,18956,22000,75573300,172,"61,000,000",6.7
Cats & Dogs ,Lawrence Guterman,Carol Ann Susi,105,87,6,4069,17372,93375151,235,"60,000,000",5.2
Two Weeks Notice ,Marc Lawrence,Dorian Missick,118,101,30,2244,17372,93307796,269,"60,000,000",6.1
Couples Retreat ,Peter Billingsley,Jon Favreau,166,113,976,5443,17372,109176215,144,"60,000,000",5.5
Cheaper by the Dozen 2 ,Adam Shankman,Taylor Lautner,77,94,163,17000,781,82569532,128,"60,000,000",5.4
The Scorch Trials ,Wes Ball,Ki Hong Lee,249,132,47,2188,24000,81687587,360,"61,000,000",6.4
Eat Pray Love ,Ryan Murphy,James Franco,213,140,708,19745,26000,80574010,302,"60,000,000",5.7
The Family Man ,Brett Ratner,Nicolas Cage,121,125,420,15627,17372,75764085,322,"60,000,000",6.7
RED ,Robert Schwentke,Bruce Willis,315,111,124,24357,32000,90356857,328,"58,000,000",7.1
Any Given Sunday ,Oliver Stone,Al Pacino,171,156,976,17000,17372,75530832,452,"55,000,000",6.8
The Horse Whisperer ,Robert Redford,Scarlett Johansson,96,170,976,20380,17372,75370763,263,"60,000,000",6.5
Collateral ,Michael Mann,Tom Cruise,299,120,976,11531,17372,100003492,836,"65,000,000",7.6
The Scorpion King ,Chuck Russell,Dwayne Johnson,167,100,55,13416,17372,90341670,432,"60,000,000",5.5
Ladder 49 ,Jay Russell,Billy Burke,125,115,13,3579,17372,74540762,323,"55,000,000",6.5
Jack Reacher ,Christopher McQuarrie,Tom Cruise,387,130,188,14000,38000,80033643,448,"60,000,000",7
Deep Blue Sea ,Renny Harlin,LL Cool J,199,105,212,2786,17372,73648142,643,"60,000,000",5.8
This Is It ,Kenny Ortega,Misha Gabriel Hamilton,136,111,197,647,17372,71844424,223,"60,000,000",7.3
Contagion ,Steven Soderbergh,Matt Damon,436,106,976,13415,42000,75638743,411,"60,000,000",6.6
Kangaroo Jack ,David McNally,Estella Warren,73,89,18,1141,858,66734992,181,"60,000,000",4.4
Coraline ,Henry Selick,Jennifer Saunders,310,100,253,595,10000,75280058,279,"60,000,000",7.7
The Happening ,M. Night Shyamalan,Zooey Deschanel,323,91,976,12697,6000,64505912,1264,"48,000,000",5
The Shaggy Dog ,Brian Robbins,Robert Downey Jr.,76,98,48,22658,747,61112916,83,"50,000,000",4.4
Starsky & Hutch ,Todd Phillips,Snoop Dogg,173,101,480,2517,17372,88200225,308,"60,000,000",6.1
Jingle All the Way ,Brian Levant,Jim Belushi,81,94,32,2108,17372,60573641,162,"60,000,000",5.4
Hellboy ,Guillermo del Toro,James Babson,242,132,976,860,17372,59035104,597,"66,000,000",6.8
A Civil Action ,Steven Zaillian,Robert Duvall,110,115,234,4073,1000,56702901,181,"60,000,000",6.5
ParaNorman ,Chris Butler,Anna Kendrick,328,92,28,11470,12000,55994557,176,"60,000,000",7
Paycheck ,John Woo,Ivana Milicevic,196,119,610,2330,17372,53789313,347,"60,000,000",6.3
Up Close & Personal ,Jon Avnet,Joe Mantegna,34,124,50,2616,829,51045801,54,"60,000,000",6.1
The Tuxedo ,Kevin Donovan,Romany Malco,81,98,11,1753,797,50189179,207,"60,000,000",5.3
Under Siege 2: Dark Territory ,Geoff Murphy,Peter Greene,47,92,14,1797,1000,50024083,126,"60,000,000",5.4
Jack Ryan: Shadow Recruit ,Kenneth Branagh,Colm Feore,313,105,976,1221,17000,50549107,289,"60,000,000",6.2
Alien: Resurrection ,Jean-Pierre Jeunet,Gary Dourdan,223,116,976,2392,17372,47748610,656,"75,000,000",6.3
Shooter ,Antoine Fuqua,Tate Donovan,198,124,845,1412,17372,46975183,338,"61,000,000",7.2
The Boxtrolls ,Graham Annable,Isaac Hempstead Wright,219,96,7,2184,11000,50807639,122,"60,000,000",6.8
Practical Magic ,Griffin Dunne,Goran Visnjic,92,104,165,2911,17372,46611204,257,"48,000,000",6.1
Miss Congeniality 2: Armed and Fabulous ,John Pasquin,Eileen Brennan,111,115,11,2401,621,48472213,156,"45,000,000",5
Duplicity ,Tony Gilroy,Julia Roberts,211,125,209,9896,17372,40559930,184,"60,000,000",6.2
My Favorite Martian ,Donald Petrie,Steven Anthony Lawrence,49,94,80,1647,448,36830057,73,"65,000,000",4.9
The Sentinel ,Clark Johnson,Blair Brown,161,107,69,735,690,36279230,213,"60,000,000",6.1
Star Trek: Nemesis ,Stuart Baird,Tom Hardy,172,116,53,28906,17372,43119879,842,"60,000,000",6.4
Intolerable Cruelty ,Joel Coen,Cedric the Entertainer,161,100,976,1045,17372,35096190,322,"60,000,000",6.3
Mercury Rising ,Harold Becker,Bruce Willis,79,111,17,14620,17372,32940507,127,"60,000,000",6.1
The Legend of Bagger Vance ,Robert Redford,Matt Damon,125,126,976,32000,17372,30695227,267,"60,000,000",6.7
Priest ,Scott Stewart,Josh Wingate,225,87,124,1383,20000,29136626,233,"60,000,000",5.7
Sinbad: Legend of the Seven Seas ,Patrick Gilmore,Brad Pitt,98,85,976,11184,880,26288320,91,"60,000,000",6.7
Dragonfly ,Tom Shadyac,Joe Morton,117,104,293,1301,17372,30063805,243,"60,000,000",6.1
The Last Castle ,Rod Lurie,Clifton Collins Jr.,110,131,37,2323,17372,18208078,281,"60,000,000",6.9
